-----------------|---------|----------|---------|---------|---------------------------------
File             | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s               
-----------------|---------|----------|---------|---------|---------------------------------
All files        |   83.73 |    69.73 |   80.95 |   85.71 |                                 
 daos            |   90.47 |      100 |     100 |   89.74 |                                 
  hikeDAO.js     |   91.66 |      100 |     100 |    90.9 | 19,33                           
  pointDAO.js    |   88.88 |      100 |     100 |   88.23 | 19,29                           
 database        |      75 |    56.25 |    90.9 |   83.33 |                                 
  dbManager.js   |      75 |    56.25 |    90.9 |   83.33 | 12,18,35,46                     
 models          |     100 |        0 |     100 |     100 |                                 
  hikeModel.js   |     100 |        0 |     100 |     100 | 11                              
  pointModel.js  |     100 |      100 |     100 |     100 |                                 
 services        |   73.33 |    66.66 |   53.33 |      75 |                                 
  hikeService.js |   73.33 |    66.66 |   53.33 |      75 | 34-35,40-41,51,65,75,87,117-124 
 unit_test       |     100 |      100 |     100 |     100 |                                 
  purgeUtils.js  |     100 |      100 |     100 |     100 |                                 
-----------------|---------|----------|---------|---------|---------------------------------
